"module","domain","method","kind","sourceFile","line","status","priority","notes"
"MPMAINTEN","Maintenance","MerchantWc","FUNCTION","MPMAINTEN.PRG","8892","todo","",""
"MPMAINTEN","Maintenance","MerchantRet","FUNCTION","MPMAINTEN.PRG","8941","todo","",""
"MPMAINTEN","Maintenance","MenPerCfTest","FUNCTION","MPMAINTEN.PRG","9018","todo","",""
"MPMAINTEN","Maintenance","FullValueWc","FUNCTION","MPMAINTEN.PRG","9095","todo","",""
"MPMAINTEN","Maintenance","FullValueRet","FUNCTION","MPMAINTEN.PRG","9187","todo","",""
"MPMAINTEN","Maintenance","fvdeductretXXXXX","FUNCTION","MPMAINTEN.PRG","9235","todo","",""
"MPMAINTEN","Maintenance","FullValueDeductRet","FUNCTION","MPMAINTEN.PRG","9288","todo","",""
"MPMAINTEN","Maintenance","leaddistruleswc","FUNCTION","MPMAINTEN.PRG","9365","todo","",""
"MPMAINTEN","Maintenance","leaddistrulesret","FUNCTION","MPMAINTEN.PRG","9471","todo","",""
"MPMAINTEN","Maintenance","tasklistwc","FUNCTION","MPMAINTEN.PRG","9584","todo","",""
"MPMAINTEN","Maintenance","TasklistRet","FUNCTION","MPMAINTEN.PRG","9624","todo","",""
"MPMAINTEN","Maintenance","handbookwc","FUNCTION","MPMAINTEN.PRG","9698","todo","",""
"MPMAINTEN","Maintenance","HandbookAdd","FUNCTION","MPMAINTEN.PRG","9786","todo","",""
"MPMAINTEN","Maintenance","handbookret","FUNCTION","MPMAINTEN.PRG","9875","todo","",""
"MPMAINTEN","Maintenance","handbookseq","FUNCTION","MPMAINTEN.PRG","9936","todo","",""
"MPMAINTEN","Maintenance","handbooktxt","FUNCTION","MPMAINTEN.PRG","9991","todo","",""
"MPOPR","Operations / jobs","oprwc","FUNCTION","MPOPR.PRG","33","todo","",""
"MPOPR","Operations / jobs","oprret","FUNCTION","MPOPR.PRG","493","todo","",""
"MPOPR","Operations / jobs","ServicesWc","FUNCTION","MPOPR.PRG","867","todo","",""
"MPOPR","Operations / jobs","ServicesRet","FUNCTION","MPOPR.PRG","920","todo","",""
"MPOPR","Operations / jobs","dailyopr","FUNCTION","MPOPR.PRG","1028","todo","",""
"MPOPR","Operations / jobs","operationday","FUNCTION","MPOPR.PRG","1639","todo","",""
"MPOPR","Operations / jobs","OperationDayRet","FUNCTION","MPOPR.PRG","2026","todo","",""
"MPOPR","Operations / jobs","blkdatesWc","FUNCTION","MPOPR.PRG","2085","todo","",""
"MPOPR","Operations / jobs","blkdatesret","FUNCTION","MPOPR.PRG","2230","todo","",""
"MPOPR","Operations / jobs","blkvisualret","FUNCTION","MPOPR.PRG","2365","todo","",""
"MPOPR","Operations / jobs","EditTripAddressWc","FUNCTION","MPOPR.PRG","2462","todo","",""
"MPOPR","Operations / jobs","paymentswc","FUNCTION","MPOPR.PRG","2499","todo","",""
"MPOPR","Operations / jobs","paymentsret","FUNCTION","MPOPR.PRG","2845","todo","",""
"MPOPR","Operations / jobs","mpwwc","FUNCTION","MPOPR.PRG","3068","todo","",""
"MPOPR","Operations / jobs","mpwret","FUNCTION","MPOPR.PRG","3136","todo","",""
"MPOPR","Operations / jobs","MpwJobwc","FUNCTION","MPOPR.PRG","3351","todo","",""
"MPOPR","Operations / jobs","MpwJobret","FUNCTION","MPOPR.PRG","3439","todo","",""
"MPOPR","Operations / jobs","truckswc","FUNCTION","MPOPR.PRG","3744","todo","",""
"MPOPR","Operations / jobs","trucksret","FUNCTION","MPOPR.PRG","3829","todo","",""
"MPOPR","Operations / jobs","wageswc","FUNCTION","MPOPR.PRG","3991","todo","",""
"MPOPR","Operations / jobs","wagesret","FUNCTION","MPOPR.PRG","4136","todo","",""
"MPOPR","Operations / jobs","payworkerret","FUNCTION","MPOPR.PRG","4250","todo","",""
"MPOPR","Operations / jobs","mpwmiscret","FUNCTION","MPOPR.PRG","4551","todo","",""
"MPOPR","Operations / jobs","mpwpendret","FUNCTION","MPOPR.PRG","4643","todo","",""
"MPOPR","Operations / jobs","recalculateworker","PROCEDURE","MPOPR.PRG","4789","todo","",""
"MPOPR","Operations / jobs","truckmiscwc","FUNCTION","MPOPR.PRG","4854","todo","",""
"MPOPR","Operations / jobs","truckmiscret","FUNCTION","MPOPR.PRG","4905","todo","",""
"MPOPR","Operations / jobs","paysaleswc","FUNCTION","MPOPR.PRG","4993","todo","",""
"MPOPR","Operations / jobs","paysalesret","FUNCTION","MPOPR.PRG","5289","todo","",""
"MPOPR","Operations / jobs","recalculatesales","PROCEDURE","MPOPR.PRG","5462","todo","",""
"MPOPR","Operations / jobs","claimsselect","FUNCTION","MPOPR.PRG","5540","todo","",""
"MPOPR","Operations / jobs","claimswc","FUNCTION","MPOPR.PRG","5591","todo","",""
"MPOPR","Operations / jobs","claimsret","FUNCTION","MPOPR.PRG","5807","todo","",""
"MPOPR","Operations / jobs","claimreasonwc","FUNCTION","MPOPR.PRG","6041","todo","",""
"MPOPR","Operations / jobs","claimreasonret","FUNCTION","MPOPR.PRG","6074","todo","",""
"MPOPR","Operations / jobs","windowclose","FUNCTION","MPOPR.PRG","6144","todo","",""
"MPOPR","Operations / jobs","closedjobret","FUNCTION","MPOPR.PRG","6152","todo","",""
"MPOPR","Operations / jobs","matsalewc","FUNCTION","MPOPR.PRG","6230","todo","",""
"MPOPR","Operations / jobs","matsaleret","FUNCTION","MPOPR.PRG","6264","todo","",""
"MPOPR","Operations / jobs","prnslipwc","FUNCTION","MPOPR.PRG","6453","todo","",""
"MPOPR","Operations / jobs","oprbookedwc","FUNCTION","MPOPR.PRG","6661","todo","",""
"MPOPR","Operations / jobs","TripsWc","FUNCTION","MPOPR.PRG","6716","todo","",""
"MPOPR","Operations / jobs","TripEditWc","FUNCTION","MPOPR.PRG","6751","todo","",""
"MPOPR","Operations / jobs","TripEditRet","FUNCTION","MPOPR.PRG","6826","todo","",""
"MPOPR","Operations / jobs","TripSelect","FUNCTION","MPOPR.PRG","7022","todo","",""
"MPOPR","Operations / jobs","AssignTripWc","FUNCTION","MPOPR.PRG","7057","todo","",""
"MPOPR","Operations / jobs","AssignTripRet","FUNCTION","MPOPR.PRG","7122","todo","",""
"MPOPR","Operations / jobs","TripClosedWc","FUNCTION","MPOPR.PRG","7184","todo","",""
"MPOPR","Operations / jobs","TripStatus","FUNCTION","MPOPR.PRG","7217","todo","",""
"MPOPR","Operations / jobs","DailyTrip","FUNCTION","MPOPR.PRG","7270","todo","",""
"MPOPR","Operations / jobs","tripday","FUNCTION","MPOPR.PRG","7379","todo","",""
"MPOPR","Operations / jobs","TripDayRet","FUNCTION","MPOPR.PRG","7577","todo","",""
"MPOPR","Operations / jobs","TripPrint","FUNCTION","MPOPR.PRG","7667","todo","",""
"MPOPR","Operations / jobs","TripAddWc","FUNCTION","MPOPR.PRG","7875","todo","",""
"MPOPR","Operations / jobs","TripAddRet","FUNCTION","MPOPR.PRG","7923","todo","",""
"MPOPR","Operations / jobs","dlvwc","FUNCTION","MPOPR.PRG","7964","todo","",""
"MPOPR","Operations / jobs","dlvret","FUNCTION","MPOPR.PRG","8285","todo","",""
"MPOPR","Operations / jobs","agentfee","FUNCTION","MPOPR.PRG","8718","todo","",""
"MPOPR","Operations / jobs","CCFORMWC","FUNCTION","MPOPR.PRG","8823","todo","",""
"MPOPR","Operations / jobs","CCFORMRET","FUNCTION","MPOPR.PRG","8956","todo","",""
"MPOPR","Operations / jobs","AuthorizeProc","PROCEDURE","MPOPR.PRG","9368","todo","",""
"MPOPR","Operations / jobs","AuthorizeVoid","PROCEDURE","MPOPR.PRG","9509","todo","",""
"MPOPR","Operations / jobs","FidelityProc","PROCEDURE","MPOPR.PRG","9639","todo","",""
"MPOPR","Operations / jobs","PAYCONFIRM","FUNCTION","MPOPR.PRG","9760","todo","",""
"MPOPR","Operations / jobs","VIEWPAYCCXXXX","FUNCTION","MPOPR.PRG","9820","todo","",""
"MPOPR","Operations / jobs","bldfuturetable","FUNCTION","MPOPR.PRG","9886","todo","",""
"MPOPR","Operations / jobs","FUTUREOPRWC","FUNCTION","MPOPR.PRG","9928","todo","",""
"MPOPR","Operations / jobs","FUTUREOPRRET","FUNCTION","MPOPR.PRG","9975","todo","",""
"MPOPR","Operations / jobs","OprOthersWc","FUNCTION","MPOPR.PRG","10210","todo","",""
"MPOPR","Operations / jobs","OprOthersRet","FUNCTION","MPOPR.PRG","10303","todo","",""
"MPOPR","Operations / jobs","UpdRadd","FUNCTION","MPOPR.PRG","10469","todo","",""
"MPOPR","Operations / jobs","sentoprinvoice","FUNCTION","MPOPR.PRG","10524","todo","",""
"MPOPR","Operations / jobs","boloprwc","FUNCTION","MPOPR.PRG","10580","todo","",""
"MPOPR","Operations / jobs","esignboloprret","FUNCTION","MPOPR.PRG","11165","todo","",""
"MPOPR","Operations / jobs","sentbolopr","FUNCTION","MPOPR.PRG","11299","todo","",""
"MPOPR","Operations / jobs","MultiPayWc","FUNCTION","MPOPR.PRG","11355","todo","",""
"MPOPR","Operations / jobs","MultiPayRet","FUNCTION","MPOPR.PRG","11431","todo","",""
"MPOPR","Operations / jobs","AuthorizeMultiPay","PROCEDURE","MPOPR.PRG","11637","todo","",""
"MPOPR","Operations / jobs","oprpostout","FUNCTION","MPOPR.PRG","11777","todo","",""
"MPPROC-YOSSI","","l_gentxt","FUNCTION","MPPROC-yossi.PRG","21","todo","",""
"MPPROC-YOSSI","","XNEWCOOKIE","PROCEDURE","MPPROC-yossi.PRG","184","todo","",""
"MPPROC-YOSSI","","XDISTANCE","PROCEDURE","MPPROC-yossi.PRG","263","todo","",""
"MPPROC-YOSSI","","XCITYSTATE","PROCEDURE","MPPROC-yossi.PRG","313","todo","",""
"MPPROC-YOSSI","","XDATE","PROCEDURE","MPPROC-yossi.PRG","351","todo","",""
"MPPROC-YOSSI","","XCDATE","PROCEDURE","MPPROC-yossi.PRG","389","todo","",""
"MPPROC-YOSSI","","XMONTH","PROCEDURE","MPPROC-yossi.PRG","424","todo","",""
"MPPROC-YOSSI","","XBELL","PROCEDURE","MPPROC-yossi.PRG","453","todo","",""
"MPPROC-YOSSI","","XTARIFF","PROCEDURE","MPPROC-yossi.PRG","470","todo","",""
"MPPROC-YOSSI","","XTARIFDISC","PROCEDURE","MPPROC-yossi.PRG","518","todo","",""
"MPPROC-YOSSI","","XTPERIODS","PROCEDURE","MPPROC-yossi.PRG","706","todo","",""
"MPPROC-YOSSI","","XDPERIODS","PROCEDURE","MPPROC-yossi.PRG","735","todo","",""
"MPPROC-YOSSI","","XVALIDCREDIT","PROCEDURE","MPPROC-yossi.PRG","782","todo","",""
"MPPROC-YOSSI","","XVALIDPHONE","PROCEDURE","MPPROC-yossi.PRG","810","todo","",""
"MPPROC-YOSSI","","XVALIDESTPHONE","PROCEDURE","MPPROC-yossi.PRG","838","todo","",""
"MPPROC-YOSSI","","XPHONEVALID","PROCEDURE","MPPROC-yossi.PRG","855","todo","",""
"MPPROC-YOSSI","","XESTLOG","PROCEDURE","MPPROC-yossi.PRG","875","todo","",""
"MPPROC-YOSSI","","XEST_LOG","PROCEDURE","MPPROC-yossi.PRG","932","todo","",""
"MPPROC-YOSSI","","XPERHRS","PROCEDURE","MPPROC-yossi.PRG","958","todo","",""
"MPPROC-YOSSI","","XSCHED","PROCEDURE","MPPROC-yossi.PRG","1046","todo","",""
"MPPROC-YOSSI","","XRESCHED","PROCEDURE","MPPROC-yossi.PRG","1079","todo","",""
"MPPROC-YOSSI","","XBUILDSCHED","PROCEDURE","MPPROC-yossi.PRG","1100","todo","",""
"MPPROC-YOSSI","","XMPW","PROCEDURE","MPPROC-yossi.PRG","1122","todo","",""
"MPPROC-YOSSI","","XBLDMPW","PROCEDURE","MPPROC-yossi.PRG","1217","todo","",""
"MPPROC-YOSSI","","XMPWSQL","PROCEDURE","MPPROC-yossi.PRG","1268","todo","",""
"MPPROC-YOSSI","","XBLDMPW_SQL","PROCEDURE","MPPROC-yossi.PRG","1444","todo","",""
"MPPROC-YOSSI","","XPRNEST","PROCEDURE","MPPROC-yossi.PRG","1502","todo","",""
"MPPROC-YOSSI","","XRETRIVEHISTORY","PROCEDURE","MPPROC-yossi.PRG","1557","todo","",""
"MPPROC-YOSSI","","XNEWREFNO","PROCEDURE","MPPROC-yossi.PRG","1617","todo","",""
"MPPROC-YOSSI","","XUPDDATA","PROCEDURE","MPPROC-yossi.PRG","1653","todo","",""
"MPPROC-YOSSI","","XTRIPADD","PROCEDURE","MPPROC-yossi.PRG","1697","todo","",""
"MPPROC-YOSSI","","XBLDTRIPSXXXX","PROCEDURE","MPPROC-yossi.PRG","1792","todo","",""
"MPPROC-YOSSI","","XUPDTRIPS","PROCEDURE","MPPROC-yossi.PRG","1849","todo","",""
"MPPROC-YOSSI","","XBLDINV","PROCEDURE","MPPROC-yossi.PRG","1917","todo","",""
"MPPROC-YOSSI","","XBLDINVYYYYYYYY","PROCEDURE","MPPROC-yossi.PRG","1963","todo","",""
"MPPROC-YOSSI","","XBUILDINV","PROCEDURE","MPPROC-yossi.PRG","2008","todo","",""
"MPPROC-YOSSI","","XBLD_PRNINV","PROCEDURE","MPPROC-yossi.PRG","2122","todo","",""
"MPPROC-YOSSI","","XINVNOLOAD","PROCEDURE","MPPROC-yossi.PRG","2175","todo","",""
"MPPROC-YOSSI","","XBLDMAT","PROCEDURE","MPPROC-yossi.PRG","2290","todo","",""
"MPPROC-YOSSI","","XBLDOPRMAT","PROCEDURE","MPPROC-yossi.PRG","2319","todo","",""
"MPPROC-YOSSI","","XADDRESS","PROCEDURE","MPPROC-yossi.PRG","2348","todo","",""
"MPPROC-YOSSI","","XSTATEONUP","PROCEDURE","MPPROC-yossi.PRG","2415","todo","",""
"MPPROC-YOSSI","","XLOGEMAIL","PROCEDURE","MPPROC-yossi.PRG","2517","todo","",""
"MPPROC-YOSSI","","XINSERT_T0_PE","PROCEDURE","MPPROC-yossi.PRG","2572","todo","",""
"MPPROC-YOSSI","","XVIEWEMAIL","PROCEDURE","MPPROC-yossi.PRG","2705","todo","",""
"MPPROC-YOSSI","","XVIEWBOL","PROCEDURE","MPPROC-yossi.PRG","2847","todo","",""
"MPPROC-YOSSI","","XNAVCOUNT","PROCEDURE","MPPROC-yossi.PRG","2923","todo","",""
"MPPROC-YOSSI","","XFIRSTEMAIL","PROCEDURE","MPPROC-yossi.PRG","3075","todo","",""
"MPPROC-YOSSI","","XBOOKEMAIL","PROCEDURE","MPPROC-yossi.PRG","3283","todo","",""
"MPPROC-YOSSI","","XBODY","PROCEDURE","MPPROC-yossi.PRG","3516","todo","",""
"MPPROC-YOSSI","","XOUTGOING","PROCEDURE","MPPROC-yossi.PRG","3580","todo","",""
"MPPROC-YOSSI","","XBLDAUTOZONE","PROCEDURE","MPPROC-yossi.PRG","3628","todo","",""
"MPPROC-YOSSI","","XAUTOZONE_AB","PROCEDURE","MPPROC-yossi.PRG","3648","todo","",""
"MPPROC-YOSSI","","XAUTOZONE_A","PROCEDURE","MPPROC-yossi.PRG","3692","todo","",""
"MPPROC-YOSSI","","XAUTOZONE_B","PROCEDURE","MPPROC-yossi.PRG","3769","todo","",""
"MPPROC-YOSSI","","XGOTLEAD","PROCEDURE","MPPROC-yossi.PRG","3827","todo","",""
"MPPROC-YOSSI","","XNEXTJOBNO","PROCEDURE","MPPROC-yossi.PRG","3866","todo","",""
"MPPROC-YOSSI","","XSTARTDEPT","PROCEDURE","MPPROC-yossi.PRG","3902","todo","",""
"MPPROC-YOSSI","","XMOVESIZE","PROCEDURE","MPPROC-yossi.PRG","3921","todo","",""
"MPPROC-YOSSI","","XDTARIFF_AB","PROCEDURE","MPPROC-yossi.PRG","3965","todo","",""
"MPPROC-YOSSI","","XDTARIFF_A","PROCEDURE","MPPROC-yossi.PRG","4011","todo","",""
"MPPROC-YOSSI","","XDTARIFF_B","PROCEDURE","MPPROC-yossi.PRG","4083","todo","",""
"MPPROC-YOSSI","","XDTARIFFPRC","PROCEDURE","MPPROC-yossi.PRG","4134","todo","",""
"MPPROC-YOSSI","","XDVALIDRATE","PROCEDURE","MPPROC-yossi.PRG","4218","todo","",""
"MPPROC-YOSSI","","XUPD_DMAINID","PROCEDURE","MPPROC-yossi.PRG","4336","todo","",""
"MPPROC-YOSSI","","XDTARIFFOKXXXXXXXXX","PROCEDURE","MPPROC-yossi.PRG","4469","todo","",""
"MPPROC-YOSSI","","XDtestRate","PROCEDURE","MPPROC-yossi.PRG","4500","todo","",""
"MPPROC-YOSSI","","XCOMPLETION","PROCEDURE","MPPROC-yossi.PRG","4709","todo","",""
"MPPROC-YOSSI","","XCOMPLETEINTLX","PROCEDURE","MPPROC-yossi.PRG","4874","todo","",""
"MPPROC-YOSSI","","XOPERATIONLISTYYYYYY","PROCEDURE","MPPROC-yossi.PRG","4959","todo","",""
"MPPROC-YOSSI","","XOPERATIONLIST","PROCEDURE","MPPROC-yossi.PRG","5022","todo","",""
"MPPROC-YOSSI","","XOPERATIONTRUCK","PROCEDURE","MPPROC-yossi.PRG","5086","todo","",""
"MPPROC-YOSSI","","XAGENTTRIP","PROCEDURE","MPPROC-yossi.PRG","5159","todo","",""
"MPPROC-YOSSI","","XREMID","PROCEDURE","MPPROC-yossi.PRG","5235","todo","",""
"MPPROC-YOSSI","","XREM_A","PROCEDURE","MPPROC-yossi.PRG","5312","todo","",""
"MPPROC-YOSSI","","XREM_B","PROCEDURE","MPPROC-yossi.PRG","5332","todo","",""
"MPPROC-YOSSI","","XCNO","PROCEDURE","MPPROC-yossi.PRG","5400","todo","",""
"MPPROC-YOSSI","","XCALCTIME","PROCEDURE","MPPROC-yossi.PRG","5434","todo","",""
"MPPROC-YOSSI","","XCLEANIRREGULAR","PROCEDURE","MPPROC-yossi.PRG","5485","todo","",""
"MPPROC-YOSSI","","XCLEANIRREGULAR_AZ","PROCEDURE","MPPROC-yossi.PRG","5520","todo","",""
"MPPROC-YOSSI","","XCLEANDIGIT","PROCEDURE","MPPROC-yossi.PRG","5544","todo","",""
"MPPROC-YOSSI","","XCLEANEMAIL","PROCEDURE","MPPROC-yossi.PRG","5571","todo","",""
"MPPROC-YOSSI","","XONLYNUMERIC","PROCEDURE","MPPROC-yossi.PRG","5607","todo","",""
"MPPROC-YOSSI","","XFOXERROR","PROCEDURE","MPPROC-yossi.PRG","5633","todo","",""
"MPPROC-YOSSI","","XSQLERROR","PROCEDURE","MPPROC-yossi.PRG","5697","todo","",""
"MPPROC-YOSSI","","XPrivateVariables","PROCEDURE","MPPROC-yossi.PRG","5739","todo","",""
"MPPROC-YOSSI","","REMOVENULL","PROCEDURE","MPPROC-yossi.PRG","5767","todo","",""
"MPPROC-YOSSI","","XLOGBOOKING","PROCEDURE","MPPROC-yossi.PRG","5803","todo","",""
"MPPROC-YOSSI","","XCompileZZList","PROCEDURE","MPPROC-yossi.PRG","5883","todo","",""
"MPPROC-YOSSI","","XCompileTrans","PROCEDURE","MPPROC-yossi.PRG","5938","todo","",""
"MPPROC-YOSSI","","XCompileImages","PROCEDURE","MPPROC-yossi.PRG","5998","todo","",""
"MPPROC-YOSSI","","XLOGADMIN","PROCEDURE","MPPROC-yossi.PRG","6052","todo","",""
"MPPROC-YOSSI","","XPHONE10","PROCEDURE","MPPROC-yossi.PRG","6076","todo","",""
"MPPROC-YOSSI","","XDIALPHONE10","PROCEDURE","MPPROC-yossi.PRG","6106","todo","",""
"MPPROC-YOSSI","","XPAYSUM","PROCEDURE","MPPROC-yossi.PRG","6133","todo","",""
"MPPROC-YOSSI","","CHR2NUM","PROCEDURE","MPPROC-yossi.PRG","6160","todo","",""
"MPPROC-YOSSI","","XQUIT","PROCEDURE","MPPROC-yossi.PRG","6178","todo","",""
"MPPROC-YOSSI","","XFVP","PROCEDURE","MPPROC-yossi.PRG","6187","todo","",""
"MPPROC-YOSSI","","XQA","PROCEDURE","MPPROC-yossi.PRG","6234","todo","",""
"MPPROC-YOSSI","","XINSERTQA","PROCEDURE","MPPROC-yossi.PRG","6250","todo","",""
"MPPROC-YOSSI","","XUPDJOBS","PROCEDURE","MPPROC-yossi.PRG","6316","todo","",""
"MPPROC-YOSSI","","XGOTNEW","PROCEDURE","MPPROC-yossi.PRG","6348","todo","",""
"MPPROC-YOSSI","","XHITS_INSERT","PROCEDURE","MPPROC-yossi.PRG","6369","todo","",""
"MPPROC-YOSSI","","XFUALERT","PROCEDURE","MPPROC-yossi.PRG","6387","todo","",""
"MPPROC-YOSSI","","XCOOKIEMSG","PROCEDURE","MPPROC-yossi.PRG","6409","todo","",""
"MPPROC-YOSSI","","XUPDDATE","PROCEDURE","MPPROC-yossi.PRG","6447","todo","",""
"MPPROC-YOSSI","","XBLKDATES","PROCEDURE","MPPROC-yossi.PRG","6475","todo","",""
"MPPROC-YOSSI","","XBLKDAY","PROCEDURE","MPPROC-yossi.PRG","6538","todo","",""
"MPPROC-YOSSI","","XBLKVISUAL","PROCEDURE","MPPROC-yossi.PRG","6571","todo","",""
"MPPROC-YOSSI","","XBLKVISDATES","PROCEDURE","MPPROC-yossi.PRG","6594","todo","",""
"MPPROC-YOSSI","","XFROMSQL","PROCEDURE","MPPROC-yossi.PRG","6634","todo","",""
"MPPROC-YOSSI","","XKILLAUTOREFRESH","PROCEDURE","MPPROC-yossi.PRG","6667","todo","",""
"MPPROC-YOSSI","","XUPD_CST_JOBS","PROCEDURE","MPPROC-yossi.PRG","6698","todo","",""
"MPPROC-YOSSI","","XPAGINGPROC","PROCEDURE","MPPROC-yossi.PRG","6816","todo","",""
"MPPROC-YOSSI","","XPAGINGPROCSSS","PROCEDURE","MPPROC-yossi.PRG","6879","todo","",""
"MPPROC-YOSSI","","XPAGINGXXX","PROCEDURE","MPPROC-yossi.PRG","6961","todo","",""
"MPPROC-YOSSI","","XBLD_BOL","PROCEDURE","MPPROC-yossi.PRG","6988","todo","",""
"MPPROC-YOSSI","","XVALIDUSER","PROCEDURE","MPPROC-yossi.PRG","7069","todo","",""
"MPPROC","","l_gentxt","FUNCTION","MPPROC.PRG","21","todo","",""
"MPPROC","","XNEWCOOKIE","PROCEDURE","MPPROC.PRG","184","todo","",""
"MPPROC","","XDISTANCE","PROCEDURE","MPPROC.PRG","263","todo","",""
"MPPROC","","XCITYSTATE","PROCEDURE","MPPROC.PRG","313","todo","",""
"MPPROC","","XDATE","PROCEDURE","MPPROC.PRG","351","todo","",""
"MPPROC","","XCDATE","PROCEDURE","MPPROC.PRG","389","todo","",""
"MPPROC","","XMONTH","PROCEDURE","MPPROC.PRG","424","todo","",""
"MPPROC","","XBELL","PROCEDURE","MPPROC.PRG","453","todo","",""
"MPPROC","","XTARIFF","PROCEDURE","MPPROC.PRG","470","todo","",""
"MPPROC","","XTARIFDISC","PROCEDURE","MPPROC.PRG","518","todo","",""
"MPPROC","","XTPERIODS","PROCEDURE","MPPROC.PRG","706","todo","",""
"MPPROC","","XDPERIODS","PROCEDURE","MPPROC.PRG","735","todo","",""
"MPPROC","","XVALIDCREDIT","PROCEDURE","MPPROC.PRG","782","todo","",""
"MPPROC","","XVALIDPHONE","PROCEDURE","MPPROC.PRG","810","todo","",""
"MPPROC","","XVALIDESTPHONE","PROCEDURE","MPPROC.PRG","838","todo","",""
"MPPROC","","XPHONEVALID","PROCEDURE","MPPROC.PRG","855","todo","",""
"MPPROC","","XESTLOG","PROCEDURE","MPPROC.PRG","875","todo","",""
"MPPROC","","XEST_LOG","PROCEDURE","MPPROC.PRG","932","todo","",""
"MPPROC","","XPERHRS","PROCEDURE","MPPROC.PRG","958","todo","",""
"MPPROC","","XSCHED","PROCEDURE","MPPROC.PRG","1046","todo","",""
"MPPROC","","XRESCHED","PROCEDURE","MPPROC.PRG","1079","todo","",""
"MPPROC","","XBUILDSCHED","PROCEDURE","MPPROC.PRG","1100","todo","",""
"MPPROC","","XMPW","PROCEDURE","MPPROC.PRG","1122","todo","",""
"MPPROC","","XBLDMPW","PROCEDURE","MPPROC.PRG","1235","todo","",""
"MPPROC","","XMPWSQL","PROCEDURE","MPPROC.PRG","1286","todo","",""
"MPPROC","","XBLDMPW_SQL","PROCEDURE","MPPROC.PRG","1462","todo","",""
"MPPROC","","XPRNEST","PROCEDURE","MPPROC.PRG","1520","todo","",""
"MPPROC","","XRETRIVEHISTORY","PROCEDURE","MPPROC.PRG","1574","todo","",""
"MPPROC","","XNEWREFNO","PROCEDURE","MPPROC.PRG","1634","todo","",""
"MPPROC","","XUPDDATA","PROCEDURE","MPPROC.PRG","1670","todo","",""
"MPPROC","","XTRIPADD","PROCEDURE","MPPROC.PRG","1714","todo","",""
"MPPROC","","XUPDTRIPS","PROCEDURE","MPPROC.PRG","1809","todo","",""
"MPPROC","","XBLDINV","PROCEDURE","MPPROC.PRG","1877","todo","",""
"MPPROC","","XBLDINVYYYYYYYY","PROCEDURE","MPPROC.PRG","1923","todo","",""
"MPPROC","","XBUILDINV","PROCEDURE","MPPROC.PRG","1968","todo","",""
"MPPROC","","XBLD_PRNINV","PROCEDURE","MPPROC.PRG","2078","todo","",""
"MPPROC","","XINVNOLOAD","PROCEDURE","MPPROC.PRG","2131","todo","",""
"MPPROC","","XBLDMAT","PROCEDURE","MPPROC.PRG","2242","todo","",""
"MPPROC","","XBLDOPRMAT","PROCEDURE","MPPROC.PRG","2271","todo","",""
"MPPROC","","XADDRESS","PROCEDURE","MPPROC.PRG","2300","todo","",""
"MPPROC","","XSTATEONUP","PROCEDURE","MPPROC.PRG","2367","todo","",""
"MPPROC","","XLOGEMAIL","PROCEDURE","MPPROC.PRG","2469","todo","",""
"MPPROC","","XINSERT_T0_PE","PROCEDURE","MPPROC.PRG","2524","todo","",""
"MPPROC","","XVIEWEMAIL","PROCEDURE","MPPROC.PRG","2664","todo","",""
"MPPROC","","XVIEWEMAILXXXX","PROCEDURE","MPPROC.PRG","2798","todo","",""
"MPPROC","","XVIEWBOL","PROCEDURE","MPPROC.PRG","2941","todo","",""
"MPPROC","","XVIEWBOLXXXX","PROCEDURE","MPPROC.PRG","3032","todo","",""
"MPPROC","","XNAVCOUNT","PROCEDURE","MPPROC.PRG","3116","todo","",""
"MPPROC","","XFIRSTEMAIL","PROCEDURE","MPPROC.PRG","3268","todo","",""
"MPPROC","","XBOOKEMAIL","PROCEDURE","MPPROC.PRG","3478","todo","",""
"MPPROC","","XBODY","PROCEDURE","MPPROC.PRG","3713","todo","",""
"MPPROC","","XOUTGOING","PROCEDURE","MPPROC.PRG","3779","todo","",""
"MPPROC","","XBLDAUTOZONE","PROCEDURE","MPPROC.PRG","3827","todo","",""
"MPPROC","","XAUTOZONE_AB","PROCEDURE","MPPROC.PRG","3847","todo","",""
"MPPROC","","XAUTOZONE_A","PROCEDURE","MPPROC.PRG","3891","todo","",""
"MPPROC","","XAUTOZONE_B","PROCEDURE","MPPROC.PRG","3968","todo","",""
"MPPROC","","XGOTLEAD","PROCEDURE","MPPROC.PRG","4026","todo","",""
"MPPROC","","XNEXTJOBNO","PROCEDURE","MPPROC.PRG","4065","todo","",""
"MPPROC","","XSTARTDEPT","PROCEDURE","MPPROC.PRG","4101","todo","",""
"MPPROC","","XMOVESIZE","PROCEDURE","MPPROC.PRG","4120","todo","",""
"MPPROC","","XDTARIFF_AB","PROCEDURE","MPPROC.PRG","4164","todo","",""
"MPPROC","","XDTARIFF_A","PROCEDURE","MPPROC.PRG","4210","todo","",""
"MPPROC","","XDTARIFF_B","PROCEDURE","MPPROC.PRG","4282","todo","",""
"MPPROC","","XDTARIFFPRC","PROCEDURE","MPPROC.PRG","4333","todo","",""
"MPPROC","","XDVALIDRATE","PROCEDURE","MPPROC.PRG","4417","todo","",""
"MPPROC","","XUPD_DMAINID","PROCEDURE","MPPROC.PRG","4535","todo","",""
"MPPROC","","XDtestRate","PROCEDURE","MPPROC.PRG","4667","todo","",""
