"module","domain","method","kind","sourceFile","line","status","priority","notes"
"MPCHARGE","Billing / card & e-check","jobtaskret","FUNCTION","MPCHARGE.PRG","7172","todo","",""
"MPCHARGE","Billing / card & e-check","cancelall","FUNCTION","MPCHARGE.PRG","7277","todo","",""
"MPCHARGE","Billing / card & e-check","postumis","FUNCTION","MPCHARGE.PRG","7321","todo","",""
"MPDIR","Directory / distance","moduleret","FUNCTION","MPDIR.PRG","32","todo","",""
"MPDIR","Directory / distance","estret","FUNCTION","MPDIR.PRG","347","todo","",""
"MPDIR","Directory / distance","noms","FUNCTION","MPDIR.PRG","967","todo","",""
"MPEST","Estimates","indexwc","FUNCTION","MPEST.PRG","32","todo","",""
"MPEST","Estimates","entryautowc","FUNCTION","MPEST.PRG","235","todo","",""
"MPEST","Estimates","entrywc","FUNCTION","MPEST.PRG","444","todo","",""
"MPEST","Estimates","entryret","FUNCTION","MPEST.PRG","726","todo","",""
"MPEST","Estimates","emailin","FUNCTION","MPEST.PRG","1572","todo","",""
"MPEST","Estimates","emaildocs","FUNCTION","MPEST.PRG","1910","todo","",""
"MPEST","Estimates","emailindocs","FUNCTION","MPEST.PRG","1989","todo","",""
"MPEST","Estimates","printautowc","FUNCTION","MPEST.PRG","2268","todo","",""
"MPEST","Estimates","emailauto","FUNCTION","MPEST.PRG","2497","todo","",""
"MPEST","Estimates","prnestwc","FUNCTION","MPEST.PRG","2867","todo","",""
"MPEST","Estimates","EmailEst","FUNCTION","MPEST.PRG","3386","todo","",""
"MPEST","Estimates","emailcenterwc","FUNCTION","MPEST.PRG","4099","todo","",""
"MPEST","Estimates","emailcenterret","FUNCTION","MPEST.PRG","4208","todo","",""
"MPEST","Estimates","ClaimsCenterWc","FUNCTION","MPEST.PRG","4731","todo","",""
"MPEST","Estimates","thankswc","FUNCTION","MPEST.PRG","4832","todo","",""
"MPEST","Estimates","thanksret","FUNCTION","MPEST.PRG","4911","todo","",""
"MPEST","Estimates","deleteest","FUNCTION","MPEST.PRG","4964","todo","",""
"MPEST","Estimates","cancelest","FUNCTION","MPEST.PRG","5011","todo","",""
"MPEST","Estimates","exitmenu","FUNCTION","MPEST.PRG","5087","todo","",""
"MPEST","Estimates","logfilewc","FUNCTION","MPEST.PRG","5104","todo","",""
"MPEST","Estimates","recurringlist","FUNCTION","MPEST.PRG","5174","todo","",""
"MPEST","Estimates","extstopwc","FUNCTION","MPEST.PRG","5283","todo","",""
"MPEST","Estimates","extstopret","FUNCTION","MPEST.PRG","5314","todo","",""
"MPEST","Estimates","remagentwc","FUNCTION","MPEST.PRG","5349","todo","",""
"MPEST","Estimates","remagentret","FUNCTION","MPEST.PRG","5379","todo","",""
"MPEST","Estimates","ESIGNWC","FUNCTION","MPEST.PRG","5413","todo","",""
"MPEST","Estimates","ESIGNRET","FUNCTION","MPEST.PRG","5614","todo","",""
"MPEST","Estimates","EMAILSLOG","FUNCTION","MPEST.PRG","5800","todo","",""
"MPEST","Estimates","EMAILSLOGEID","FUNCTION","MPEST.PRG","5900","todo","",""
"MPEST","Estimates","FriendlyIn","FUNCTION","MPEST.PRG","6022","todo","",""
"MPEST","Estimates","bolin","FUNCTION","MPEST.PRG","6250","todo","",""
"MPEST","Estimates","QA_VIEWEMAIL","FUNCTION","MPEST.PRG","6308","todo","",""
"MPEST","Estimates","emailsentmsg","FUNCTION","MPEST.PRG","6392","todo","",""
"MPEST","Estimates","bolwc","FUNCTION","MPEST.PRG","6409","todo","",""
"MPEST","Estimates","ESIGNBOLRET","FUNCTION","MPEST.PRG","6948","todo","",""
"MPEST","Estimates","ESIGNDOCRET","FUNCTION","MPEST.PRG","7083","todo","",""
"MPESTX","","indexwc","FUNCTION","MPESTX.prg","32","todo","",""
"MPESTX","","entryautowc","FUNCTION","MPESTX.prg","235","todo","",""
"MPESTX","","entrywc","FUNCTION","MPESTX.prg","444","todo","",""
"MPESTX","","entryret","FUNCTION","MPESTX.prg","726","todo","",""
"MPESTX","","emailin","FUNCTION","MPESTX.prg","1572","todo","",""
"MPESTX","","emaildocs","FUNCTION","MPESTX.prg","1910","todo","",""
"MPESTX","","emailindocs","FUNCTION","MPESTX.prg","1989","todo","",""
"MPESTX","","printautowc","FUNCTION","MPESTX.prg","2268","todo","",""
"MPESTX","","emailauto","FUNCTION","MPESTX.prg","2497","todo","",""
"MPESTX","","prnestwc","FUNCTION","MPESTX.prg","2867","todo","",""
"MPESTX","","EmailEst","FUNCTION","MPESTX.prg","3386","todo","",""
"MPESTX","","emailcenterwc","FUNCTION","MPESTX.prg","4099","todo","",""
"MPESTX","","emailcenterret","FUNCTION","MPESTX.prg","4208","todo","",""
"MPESTX","","ClaimsCenterWc","FUNCTION","MPESTX.prg","4731","todo","",""
"MPESTX","","thankswc","FUNCTION","MPESTX.prg","4832","todo","",""
"MPESTX","","thanksret","FUNCTION","MPESTX.prg","4911","todo","",""
"MPESTX","","deleteest","FUNCTION","MPESTX.prg","4964","todo","",""
"MPESTX","","cancelest","FUNCTION","MPESTX.prg","5011","todo","",""
"MPESTX","","exitmenu","FUNCTION","MPESTX.prg","5087","todo","",""
"MPESTX","","logfilewc","FUNCTION","MPESTX.prg","5104","todo","",""
"MPESTX","","recurringlist","FUNCTION","MPESTX.prg","5174","todo","",""
"MPESTX","","extstopwc","FUNCTION","MPESTX.prg","5283","todo","",""
